script	active_severity_or_advisory_keywords	filter_design	configurable_settings	severity_conditions	row_filter_criteria	evidence_basis	rule_evaluation_confidence	root_cause_confidence	confidence_reason	interpretation_limit	threshold_review_status
03_index_analysis/01_index_size_and_usage.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	none mechanically extracted	CUMULATIVE_INSTANCE_COUNTER	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Counter totals are not current rates; calculate deltas across a known interval and account for resets.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
03_index_analysis/02_unused_indexes_candidates.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	none mechanically extracted	CUMULATIVE_INSTANCE_COUNTER	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Counter totals are not current rates; calculate deltas across a known interval and account for resets.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
03_index_analysis/03_duplicate_indexes.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	AND n.nspname <> 'information_schema'	CATALOG_OR_CONFIGURATION_FACT	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Current database/instance state only; provider, OS, application, and historical context may still be required.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
03_index_analysis/04_index_maintenance_candidates.sql	HIGH,MEDIUM,REVIEW	HARDCODED_THRESHOLD	none	s.idx_scan = 0 AND pg_relation_size(s.indexrelid) >= 1024::bigint * 1024 * 1024 || s.idx_scan < 100 AND pg_relation_size(s.indexrelid) >= 512::bigint * 1024 * 1024	none mechanically extracted	CUMULATIVE_INSTANCE_COUNTER	MEDIUM	LOW	The rule is explicit, but its input is cumulative, sampled, estimated, or capture-cadence dependent.	Counter totals are not current rates; calculate deltas across a known interval and account for resets.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
04_toast_lob_blob/01_tables_with_toast.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	WHERE c.relkind IN ('r', 'm') || AND c.reltoastrelid <> 0 || AND n.nspname <> 'information_schema'	CATALOG_OR_CONFIGURATION_FACT	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Current database/instance state only; provider, OS, application, and historical context may still be required.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
04_toast_lob_blob/02_toast_heavy_tables.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	WHERE c.relkind IN ('r', 'm') || AND n.nspname <> 'information_schema' || WHERE table_total_bytes > 0	CATALOG_OR_CONFIGURATION_FACT	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Current database/instance state only; provider, OS, application, and historical context may still be required.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
04_toast_lob_blob/03_large_objects_summary.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	none mechanically extracted	CATALOG_OR_CONFIGURATION_FACT	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Current database/instance state only; provider, OS, application, and historical context may still be required.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
04_toast_lob_blob/04_top_large_objects.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	none mechanically extracted	CATALOG_OR_CONFIGURATION_FACT	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Current database/instance state only; provider, OS, application, and historical context may still be required.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
05_partitioning/01_partitioned_tables_overview.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	none mechanically extracted	CATALOG_OR_CONFIGURATION_FACT	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Current database/instance state only; provider, OS, application, and historical context may still be required.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
05_partitioning/02_partition_size_distribution.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	none mechanically extracted	CATALOG_OR_CONFIGURATION_FACT	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Current database/instance state only; provider, OS, application, and historical context may still be required.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
05_partitioning/03_partitions_without_indexes.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	none mechanically extracted	CATALOG_OR_CONFIGURATION_FACT	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Current database/instance state only; provider, OS, application, and historical context may still be required.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
05_partitioning/04_partitioning_recommendation_candidates.sql	LOW	ADVISORY_LABEL_ONLY	none	none mechanically extracted	none mechanically extracted	PLANNER_OR_MAINTENANCE_ESTIMATE	LOW	LOW	Severity wording exists but no CASE threshold was mechanically traceable; manual interpretation is required.	Statistics are sampled/estimated and may be stale; confirm ANALYZE recency and targeted evidence before action.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
05_partitioning/05_partition_sme_decision_scorecard.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	AND a.attnum > 0 || WHERE a.atttypid IN ( || AND schemaname <> 'information_schema'	PLANNER_OR_MAINTENANCE_ESTIMATE	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Statistics are sampled/estimated and may be stale; confirm ANALYZE recency and targeted evidence before action.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
05_partitioning/06_partition_target_table_deep_advisor.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	AND c.relkind IN ('r', 'p'); || AND a.attnum > 0 || AND a.atttypid IN (	PLANNER_OR_MAINTENANCE_ESTIMATE	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Statistics are sampled/estimated and may be stale; confirm ANALYZE recency and targeted evidence before action.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
05_partitioning/07_partition_lab_generate_5gb_timeseries.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	none mechanically extracted	LAB_WORKFLOW	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Use only in an isolated disposable database.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
06_activity_locks/01_active_sessions.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	WHERE a.pid <> pg_backend_pid()	LIVE_INSTANCE_SNAPSHOT	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Point-in-time evidence can miss intermittent events; repeat or sample and correlate with logs.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
06_activity_locks/02_blocking_and_blocked_sessions.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	none mechanically extracted	LIVE_INSTANCE_SNAPSHOT	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Point-in-time evidence can miss intermittent events; repeat or sample and correlate with logs.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
06_activity_locks/03_long_running_transactions.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	WHERE xact_start IS NOT NULL || AND now() - xact_start >= interval '5 minutes'	LIVE_INSTANCE_SNAPSHOT	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Point-in-time evidence can miss intermittent events; repeat or sample and correlate with logs.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
06_activity_locks/04_wait_events_summary.sql	HIGH,REVIEW	ADVISORY_LABEL_ONLY	none	none mechanically extracted	none mechanically extracted	CUMULATIVE_PG_STAT_STATEMENTS	LOW	LOW	Severity wording exists but no CASE threshold was mechanically traceable; manual interpretation is required.	Values cover the period since each entry/statistics reset; use interval snapshots for incident-window rates and percentages.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
07_vacuum_bloat/01_table_bloat_estimate.sql	CRITICAL,HIGH,LOW,MEDIUM,REVIEW	HARDCODED_THRESHOLD	none	est_bloat_bytes >= 10::bigint * 1024 * 1024 * 1024 OR ( round(100.0 * est_bloat_bytes / NULLIF(total_bytes, 0), 2) >= 30 AND total_bytes >= 1024::bigint * 1024 * 1024 ) || est_bloat_bytes >= 1024::bigint * 1024 * 1024 OR ( round(100.0 * est_bloat_bytes / NULLIF(total_bytes, 0), 2) >= 20 AND total_bytes >= 256::bigint * 1024 * 1024 ) || est_bloat_bytes >= 256::bigint * 1024 * 1024 OR ( round(100.0 * est_bloat_bytes / NULLIF(total_bytes, 0), 2) >= 10 AND total_bytes >= 64::bigint * 1024 * 1024 )	AND total_bytes >= 1024::bigint * 1024 * 1024 || AND total_bytes >= 256::bigint * 1024 * 1024 || AND total_bytes >= 64::bigint * 1024 * 1024 || WHERE n_dead_tup > 0	PLANNER_OR_MAINTENANCE_ESTIMATE	MEDIUM	LOW	The rule is explicit, but its input is cumulative, sampled, estimated, or capture-cadence dependent.	Statistics are sampled/estimated and may be stale; confirm ANALYZE recency and targeted evidence before action.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
07_vacuum_bloat/02_autovacuum_table_status.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	none mechanically extracted	PLANNER_OR_MAINTENANCE_ESTIMATE	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Statistics are sampled/estimated and may be stale; confirm ANALYZE recency and targeted evidence before action.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
07_vacuum_bloat/03_freeze_age_risk.sql	CRITICAL,HIGH,LOW,MEDIUM,REVIEW	HARDCODED_THRESHOLD	none	r.max_freeze_age >= s.freeze_max_age * 0.90 || r.max_freeze_age >= s.freeze_max_age * 0.75 || r.max_freeze_age >= s.freeze_max_age * 0.50	WHERE c.relkind IN ('r', 'm') || AND n.nspname <> 'information_schema'	CATALOG_OR_CONFIGURATION_FACT	HIGH	LOW	The rule is explicit and evaluates current catalog/configuration or live-state evidence.	Current database/instance state only; provider, OS, application, and historical context may still be required.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
07_vacuum_bloat/04_dead_tuples_hotspots.sql	CRITICAL,HIGH,LOW,MEDIUM,REVIEW	HARDCODED_THRESHOLD	none	autovacuum_disabled AND n_dead_tup > estimated_autovacuum_trigger_tuples || n_dead_tup >= 10000000 OR ( dead_tuple_pct >= 30 AND total_bytes >= 1024::bigint * 1024 * 1024 ) || n_dead_tup >= 1000000 OR ( dead_tuple_pct >= 20 AND total_bytes >= 256::bigint * 1024 * 1024 ) || n_dead_tup >= 100000 OR ( dead_tuple_pct >= 10 AND total_bytes >= 64::bigint * 1024 * 1024 )	AND total_bytes >= 1024::bigint * 1024 * 1024 || AND total_bytes >= 256::bigint * 1024 * 1024 || AND total_bytes >= 64::bigint * 1024 * 1024 || WHERE n_dead_tup > 0	PLANNER_OR_MAINTENANCE_ESTIMATE	MEDIUM	LOW	The rule is explicit, but its input is cumulative, sampled, estimated, or capture-cadence dependent.	Statistics are sampled/estimated and may be stale; confirm ANALYZE recency and targeted evidence before action.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
07_vacuum_bloat/05_vacuum_progress.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	none mechanically extracted	CATALOG_OR_CONFIGURATION_FACT	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Current database/instance state only; provider, OS, application, and historical context may still be required.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
07_vacuum_bloat/06_pgstattuple_safe_bloat_candidates.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	WHERE s.n_dead_tup >= 10000 || AND 100.0 * s.n_dead_tup / (s.n_live_tup + s.n_dead_tup) >= 10	PLANNER_OR_MAINTENANCE_ESTIMATE	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Statistics are sampled/estimated and may be stale; confirm ANALYZE recency and targeted evidence before action.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
08_replication_ha/01_primary_replication_status.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	none mechanically extracted	CATALOG_OR_CONFIGURATION_FACT	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Current database/instance state only; provider, OS, application, and historical context may still be required.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
08_replication_ha/02_standby_replay_status.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	none mechanically extracted	CATALOG_OR_CONFIGURATION_FACT	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Current database/instance state only; provider, OS, application, and historical context may still be required.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
08_replication_ha/03_replication_slots_health.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	none mechanically extracted	CATALOG_OR_CONFIGURATION_FACT	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Current database/instance state only; provider, OS, application, and historical context may still be required.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
08_replication_ha/04_wal_generation_rate.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	none mechanically extracted	CUMULATIVE_INSTANCE_COUNTER	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Counter totals are not current rates; calculate deltas across a known interval and account for resets.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
09_security_roles/01_roles_and_membership.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	none mechanically extracted	CATALOG_OR_CONFIGURATION_FACT	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Current database/instance state only; provider, OS, application, and historical context may still be required.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
09_security_roles/02_high_privilege_roles.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	none mechanically extracted	CATALOG_OR_CONFIGURATION_FACT	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Current database/instance state only; provider, OS, application, and historical context may still be required.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
09_security_roles/03_table_grants_by_role.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	AND table_schema <> 'information_schema'	CATALOG_OR_CONFIGURATION_FACT	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Current database/instance state only; provider, OS, application, and historical context may still be required.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
09_security_roles/04_default_privileges.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	none mechanically extracted	CATALOG_OR_CONFIGURATION_FACT	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Current database/instance state only; provider, OS, application, and historical context may still be required.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
10_maintenance_monitoring/01_bgwriter_checkpoint_stats.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	none mechanically extracted	CATALOG_OR_CONFIGURATION_FACT	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Current database/instance state only; provider, OS, application, and historical context may still be required.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
10_maintenance_monitoring/02_cache_hit_ratio.sql	CRITICAL,HIGH,LOW,MEDIUM,REVIEW	HARDCODED_THRESHOLD	none	coalesce(table_cache_hit_pct, 100) < 90 OR coalesce(index_cache_hit_pct, 100) < 90 || coalesce(table_cache_hit_pct, 100) < 95 OR coalesce(index_cache_hit_pct, 100) < 95 || coalesce(table_cache_hit_pct, 100) < 99 OR coalesce(index_cache_hit_pct, 100) < 99	none mechanically extracted	CUMULATIVE_INSTANCE_COUNTER	MEDIUM	LOW	The rule is explicit, but its input is cumulative, sampled, estimated, or capture-cadence dependent.	Counter totals are not current rates; calculate deltas across a known interval and account for resets.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
10_maintenance_monitoring/03_top_statements_pg_stat_statements.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	OR r.temp_bytes_total >= greatest(r.read_bytes, r.write_bytes, r.wal_bytes) || AND r.read_bytes >= greatest(r.temp_bytes_total, r.write_bytes, r.wal_bytes) || OR r.wal_bytes >= greatest(r.temp_bytes_total, r.read_bytes, r.write_bytes) || WHERE r.rank_by_total_time <= 10	CUMULATIVE_PG_STAT_STATEMENTS	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Values cover the period since each entry/statistics reset; use interval snapshots for incident-window rates and percentages.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
10_maintenance_monitoring/04_non_default_config.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	WHERE source <> 'default'	CATALOG_OR_CONFIGURATION_FACT	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Current database/instance state only; provider, OS, application, and historical context may still be required.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
10_maintenance_monitoring/05_connection_capacity.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	none mechanically extracted	LIVE_INSTANCE_SNAPSHOT	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Point-in-time evidence can miss intermittent events; repeat or sample and correlate with logs.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
11_performance_tuning/01_top_queries_by_total_exec_time.sql	HIGH	CONFIGURABLE_OVERRIDE	pgdiag.include_noise; pgdiag.max_rows; pgdiag.min_calls; pgdiag.min_exec_pct; pgdiag.query_filter	none mechanically extracted	WHERE s.calls >= p.min_calls || WHERE round((100.0 * b.total_exec_time / NULLIF(t.all_exec_ms, 0))::numeric, 2) >= (SELECT min_exec_pct FROM params)	CUMULATIVE_PG_STAT_STATEMENTS	LOW	LOW	Severity wording exists but no CASE threshold was mechanically traceable; manual interpretation is required.	Values cover the period since each entry/statistics reset; use interval snapshots for incident-window rates and percentages.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
11_performance_tuning/02_top_queries_by_mean_exec_time.sql	HIGH,LOW	CONFIGURABLE_OVERRIDE	pgdiag.include_noise; pgdiag.max_rows; pgdiag.min_calls; pgdiag.min_exec_pct; pgdiag.query_filter	b.calls < 100	WHERE s.calls >= p.min_calls || WHERE round((100.0 * b.total_exec_time / NULLIF(t.all_exec_ms, 0))::numeric, 2) >= (SELECT min_exec_pct FROM params)	CUMULATIVE_PG_STAT_STATEMENTS	MEDIUM	LOW	The rule is explicit, but its input is cumulative, sampled, estimated, or capture-cadence dependent.	Values cover the period since each entry/statistics reset; use interval snapshots for incident-window rates and percentages.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
11_performance_tuning/03_temp_file_heavy_queries.sql	none	NO_SEVERITY_LABEL	pgdiag.min_temp_pct	none mechanically extracted	WHERE temp_blks_written > 0 || WHERE round(100.0 * temp_blks_written / NULLIF(t.all_temp_blks_written, 0), 2) >= (SELECT min_temp_pct FROM params)	CUMULATIVE_PG_STAT_STATEMENTS	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Values cover the period since each entry/statistics reset; use interval snapshots for incident-window rates and percentages.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
11_performance_tuning/04_io_bound_query_candidates.sql	none	NO_SEVERITY_LABEL	pgdiag.min_io_pct	none mechanically extracted	WHERE calls >= 20 || AND round(100.0 * shared_blks_read / NULLIF(t.all_shared_reads, 0), 2) >= (SELECT min_io_pct FROM params)	CUMULATIVE_PG_STAT_STATEMENTS	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Values cover the period since each entry/statistics reset; use interval snapshots for incident-window rates and percentages.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
11_performance_tuning/05_performance_related_settings.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	WHERE name IN (	CATALOG_OR_CONFIGURATION_FACT	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Current database/instance state only; provider, OS, application, and historical context may still be required.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
11_performance_tuning/06_function_hotspots.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	none mechanically extracted	CATALOG_OR_CONFIGURATION_FACT	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Current database/instance state only; provider, OS, application, and historical context may still be required.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
11_performance_tuning/07_top_10_cpu_intensive_queries_pgadmin.sql	HIGH,LOW	CONFIGURABLE_OVERRIDE	pgdiag.min_cpu_pct	pgss.calls > 10000 AND pgss.mean_exec_time < 10	WHERE round((100.0 * pgss.total_exec_time / NULLIF(t.total_exec_time_all, 0))::numeric, 2) >= (SELECT min_cpu_pct FROM params)	CUMULATIVE_PG_STAT_STATEMENTS	MEDIUM	LOW	The rule is explicit, but its input is cumulative, sampled, estimated, or capture-cadence dependent.	Values cover the period since each entry/statistics reset; use interval snapshots for incident-window rates and percentages.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
11_performance_tuning/08_top_10_temp_disk_spill_queries_pgadmin.sql	REVIEW	CONFIGURABLE_OVERRIDE	pgdiag.min_temp_pct	none mechanically extracted	WHERE s.temp_blks_read + s.temp_blks_written > 0 || WHERE round((100.0 * (s.temp_blks_read + s.temp_blks_written) / NULLIF(t.total_temp_blks, 0))::numeric, 2) >= (SELECT min_temp_pct FROM params)	CUMULATIVE_PG_STAT_STATEMENTS	LOW	LOW	Severity wording exists but no CASE threshold was mechanically traceable; manual interpretation is required.	Values cover the period since each entry/statistics reset; use interval snapshots for incident-window rates and percentages.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
11_performance_tuning/09_top_10_memory_pressure_queries_pgadmin.sql	REVIEW	CONFIGURABLE_OVERRIDE	pgdiag.min_memory_pct	none mechanically extracted	WHERE s.temp_blks_read + s.temp_blks_written > 0 || WHERE round((100.0 * (s.temp_blks_read + s.temp_blks_written) / NULLIF(t.total_temp_blks, 0))::numeric, 2) >= (SELECT min_memory_pct FROM params)	CUMULATIVE_PG_STAT_STATEMENTS	LOW	LOW	Severity wording exists but no CASE threshold was mechanically traceable; manual interpretation is required.	Values cover the period since each entry/statistics reset; use interval snapshots for incident-window rates and percentages.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
11_performance_tuning/10_active_top_10_runtime_pressure_pgadmin.sql	REVIEW	ADVISORY_LABEL_ONLY	none	none mechanically extracted	WHERE a.pid <> pg_backend_pid()	LIVE_INSTANCE_SNAPSHOT	LOW	LOW	Severity wording exists but no CASE threshold was mechanically traceable; manual interpretation is required.	Point-in-time evidence can miss intermittent events; repeat or sample and correlate with logs.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
12_planner_statistics/01_tables_needing_analyze.sql	none	NO_SEVERITY_LABEL	none	none mechanically extracted	WHERE n_mod_since_analyze > 0	PLANNER_OR_MAINTENANCE_ESTIMATE	NOT_APPLICABLE	NOT_APPLICABLE	No severity label is emitted by active SQL.	Statistics are sampled/estimated and may be stale; confirm ANALYZE recency and targeted evidence before action.	MECHANICALLY_EXTRACTED_REVIEW_REQUIRED
