script	placement	placement_reason	scale_class	confidence_10tb	confidence_50tb	scale_reason	prerequisites	risk_flags	disposable_runtime	read_only_runtime	pg_monitor_runtime
03_index_analysis/04_index_maintenance_candidates.sql	TARGET_INSTANCE	Runtime counters are instance-local; run on the writer or reader whose workload is being diagnosed.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	SIZE_CALL	PASS	PASS	PASS
04_toast_lob_blob/01_tables_with_toast.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	MEDIUM	MEDIUM_HIGH	MEDIUM	Calls size functions across relation catalogs; cost grows with object/segment count.	none	SIZE_CALL_LOOP	PASS	PASS	PASS
04_toast_lob_blob/02_toast_heavy_tables.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	MEDIUM	MEDIUM_HIGH	MEDIUM	Calls size functions across relation catalogs; cost grows with object/segment count.	none	SIZE_CALL_LOOP	PASS	PASS	PASS
04_toast_lob_blob/03_large_objects_summary.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	LOW	LOW	LOW	Scans pg_largeobject data; runtime is proportional to large-object volume.	none	DATA_SCAN	PASS	PASS	FAIL
04_toast_lob_blob/04_top_large_objects.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	LOW	LOW	LOW	Scans pg_largeobject data; runtime is proportional to large-object volume.	none	DATA_SCAN	PASS	PASS	FAIL
05_partitioning/01_partitioned_tables_overview.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	none	PASS	PASS	PASS
05_partitioning/02_partition_size_distribution.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	SIZE_CALL	PASS	PASS	PASS
05_partitioning/03_partitions_without_indexes.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	none	PASS	PASS	PASS
05_partitioning/04_partitioning_recommendation_candidates.sql	TARGET_INSTANCE	Runtime counters are instance-local; run on the writer or reader whose workload is being diagnosed.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	SIZE_CALL	PASS	PASS	PASS
05_partitioning/05_partition_sme_decision_scorecard.sql	TARGET_INSTANCE	Runtime counters are instance-local; run on the writer or reader whose workload is being diagnosed.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	SIZE_CALL	PASS	PASS	PASS
05_partitioning/06_partition_target_table_deep_advisor.sql	WRITER_ONLY	Empirically rejected by PostgreSQL read-only execution after prerequisites were installed.	MEDIUM	MEDIUM_HIGH	MEDIUM	Calls size functions across relation catalogs; cost grows with object/segment count.	DDL/DML privileges	PERSISTENT_WRITE,TEMP_DDL,SIZE_CALL_LOOP	PASS	FAIL	FAIL
05_partitioning/07_partition_lab_generate_5gb_timeseries.sql	WRITER_ONLY	Empirically rejected by PostgreSQL read-only execution after prerequisites were installed.	PROHIBITED_PRODUCTION	NO	NO	Destructive lab: drops/recreates a persistent table and writes at least 5 GiB.	DDL/DML privileges	PERSISTENT_WRITE,TEMP_DDL,SIZE_CALL,SESSION_SETTING,DATA_GENERATOR	SKIP_DESTRUCTIVE_LAB	FAIL	FAIL
06_activity_locks/01_active_sessions.sql	TARGET_INSTANCE	Runtime counters are instance-local; run on the writer or reader whose workload is being diagnosed.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	none	PASS	PASS	PASS
06_activity_locks/02_blocking_and_blocked_sessions.sql	TARGET_INSTANCE	Runtime counters are instance-local; run on the writer or reader whose workload is being diagnosed.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	none	PASS	PASS	PASS
06_activity_locks/03_long_running_transactions.sql	TARGET_INSTANCE	Runtime counters are instance-local; run on the writer or reader whose workload is being diagnosed.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	none	PASS	PASS	PASS
06_activity_locks/04_wait_events_summary.sql	TARGET_INSTANCE	Runtime counters are instance-local; run on the writer or reader whose workload is being diagnosed.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Scans/sorts pg_stat_statements; bounded by tracked statement cardinality, not table TB.	pg_stat_statements,PostgreSQL 16+,DDL/DML privileges	PERSISTENT_WRITE,PGSS_SCAN	PASS	PASS	PASS
07_vacuum_bloat/01_table_bloat_estimate.sql	WRITER_REQUIRED	Writer-local DML, vacuum, WAL, or maintenance statistics are authoritative.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	DDL/DML privileges	PERSISTENT_WRITE,SIZE_CALL	PASS	PASS	PASS
07_vacuum_bloat/02_autovacuum_table_status.sql	WRITER_REQUIRED	Writer-local DML, vacuum, WAL, or maintenance statistics are authoritative.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	none	PASS	PASS	PASS
07_vacuum_bloat/03_freeze_age_risk.sql	WRITER_REQUIRED	Writer-local DML, vacuum, WAL, or maintenance statistics are authoritative.	MEDIUM	MEDIUM_HIGH	MEDIUM	Calls size functions across relation catalogs; cost grows with object/segment count.	DDL/DML privileges	PERSISTENT_WRITE,SIZE_CALL_LOOP	PASS	PASS	PASS
07_vacuum_bloat/04_dead_tuples_hotspots.sql	WRITER_REQUIRED	Writer-local DML, vacuum, WAL, or maintenance statistics are authoritative.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	DDL/DML privileges	PERSISTENT_WRITE,SIZE_CALL	PASS	PASS	PASS
07_vacuum_bloat/05_vacuum_progress.sql	WRITER_ONLY	Empirically rejected by PostgreSQL read-only execution after prerequisites were installed.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	DDL/DML privileges	PERSISTENT_WRITE,TEMP_DDL	PASS	FAIL	FAIL
08_replication_ha/01_primary_replication_status.sql	WRITER_PREFERRED	Uses primary WAL/archive/sender state.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	none	PASS	PASS	PASS
08_replication_ha/02_standby_replay_status.sql	READER_PREFERRED	Uses standby receive/replay state.	HIGH	HIGH	HIGH	Bounded catalog/statistics query; not proportional to user-table bytes.	none	none	PASS	PASS	PASS
08_replication_ha/03_replication_slots_health.sql	WRITER_PREFERRED	Uses primary WAL/archive/sender state.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	none	PASS	PASS	PASS
08_replication_ha/04_wal_generation_rate.sql	WRITER_REQUIRED	Writer-local DML, vacuum, WAL, or maintenance statistics are authoritative.	HIGH	HIGH	HIGH	Bounded catalog/statistics query; not proportional to user-table bytes.	none	none	PASS	PASS	PASS
09_security_roles/01_roles_and_membership.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	none	PASS	PASS	PASS
09_security_roles/02_high_privilege_roles.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	none	PASS	PASS	PASS
09_security_roles/03_table_grants_by_role.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	none	PASS	PASS	PASS
09_security_roles/04_default_privileges.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	none	PASS	PASS	PASS
10_maintenance_monitoring/01_bgwriter_checkpoint_stats.sql	WRITER_ONLY	Empirically rejected by PostgreSQL read-only execution after prerequisites were installed.	HIGH	HIGH	HIGH	Bounded catalog/statistics query; not proportional to user-table bytes.	PostgreSQL 17+ or guarded fallback,DDL/DML privileges	PERSISTENT_WRITE,TEMP_DDL	PASS	FAIL	FAIL
10_maintenance_monitoring/02_cache_hit_ratio.sql	TARGET_INSTANCE	Runtime counters are instance-local; run on the writer or reader whose workload is being diagnosed.	HIGH	HIGH	HIGH	Bounded catalog/statistics query; not proportional to user-table bytes.	PostgreSQL 16+	SESSION_SETTING	PASS	PASS	PASS
10_maintenance_monitoring/03_top_statements_pg_stat_statements.sql	TARGET_INSTANCE	Runtime counters are instance-local; run on the writer or reader whose workload is being diagnosed.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Scans/sorts pg_stat_statements; bounded by tracked statement cardinality, not table TB.	pg_stat_statements,PostgreSQL 16+	PGSS_SCAN	PASS	PASS	PASS
10_maintenance_monitoring/04_non_default_config.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	none	PASS	PASS	PASS
10_maintenance_monitoring/05_connection_capacity.sql	TARGET_INSTANCE	Runtime counters are instance-local; run on the writer or reader whose workload is being diagnosed.	HIGH	HIGH	HIGH	Bounded catalog/statistics query; not proportional to user-table bytes.	none	none	PASS	PASS	PASS
11_performance_tuning/01_top_queries_by_total_exec_time.sql	TARGET_INSTANCE	Runtime counters are instance-local; run on the writer or reader whose workload is being diagnosed.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Scans/sorts pg_stat_statements; bounded by tracked statement cardinality, not table TB.	pg_stat_statements,DDL/DML privileges	PERSISTENT_WRITE,PGSS_SCAN	PASS	PASS	PASS
11_performance_tuning/02_top_queries_by_mean_exec_time.sql	TARGET_INSTANCE	Runtime counters are instance-local; run on the writer or reader whose workload is being diagnosed.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Scans/sorts pg_stat_statements; bounded by tracked statement cardinality, not table TB.	pg_stat_statements,DDL/DML privileges	PERSISTENT_WRITE,PGSS_SCAN	PASS	PASS	PASS
11_performance_tuning/03_temp_file_heavy_queries.sql	TARGET_INSTANCE	Runtime counters are instance-local; run on the writer or reader whose workload is being diagnosed.	HIGH	HIGH	HIGH	Bounded catalog/statistics query; not proportional to user-table bytes.	pg_stat_statements	PGSS_SCAN	PASS	PASS	PASS
11_performance_tuning/04_io_bound_query_candidates.sql	TARGET_INSTANCE	Runtime counters are instance-local; run on the writer or reader whose workload is being diagnosed.	HIGH	HIGH	HIGH	Bounded catalog/statistics query; not proportional to user-table bytes.	pg_stat_statements	PGSS_SCAN	PASS	PASS	PASS
11_performance_tuning/05_performance_related_settings.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	none	PASS	PASS	PASS
11_performance_tuning/06_function_hotspots.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	HIGH	HIGH	HIGH	Bounded catalog/statistics query; not proportional to user-table bytes.	none	none	PASS	PASS	PASS
11_performance_tuning/07_top_10_cpu_intensive_queries_pgadmin.sql	TARGET_INSTANCE	Runtime counters are instance-local; run on the writer or reader whose workload is being diagnosed.	HIGH	HIGH	HIGH	Bounded catalog/statistics query; not proportional to user-table bytes.	pg_stat_statements	PGSS_SCAN	PASS	PASS	PASS
11_performance_tuning/08_top_10_temp_disk_spill_queries_pgadmin.sql	TARGET_INSTANCE	Runtime counters are instance-local; run on the writer or reader whose workload is being diagnosed.	HIGH	HIGH	HIGH	Bounded catalog/statistics query; not proportional to user-table bytes.	pg_stat_statements	PGSS_SCAN	PASS	PASS	PASS
11_performance_tuning/09_top_10_memory_pressure_queries_pgadmin.sql	TARGET_INSTANCE	Runtime counters are instance-local; run on the writer or reader whose workload is being diagnosed.	HIGH	HIGH	HIGH	Bounded catalog/statistics query; not proportional to user-table bytes.	pg_stat_statements	PGSS_SCAN	PASS	PASS	PASS
11_performance_tuning/10_active_top_10_runtime_pressure_pgadmin.sql	TARGET_INSTANCE	Runtime counters are instance-local; run on the writer or reader whose workload is being diagnosed.	HIGH	HIGH	HIGH	Bounded catalog/statistics query; not proportional to user-table bytes.	none	none	PASS	PASS	PASS
12_planner_statistics/01_tables_needing_analyze.sql	TARGET_INSTANCE	Runtime counters are instance-local; run on the writer or reader whose workload is being diagnosed.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	none	PASS	PASS	PASS
12_planner_statistics/02_seq_scan_hotspots.sql	WRITER_REQUIRED	Writer-local DML, vacuum, WAL, or maintenance statistics are authoritative.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	SIZE_CALL,EXECUTES_QUERY	PASS	PASS	PASS
12_planner_statistics/03_column_stats_profile.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	none	PASS	PASS	PASS
12_planner_statistics/04_extended_stats_candidates.sql	TARGET_INSTANCE	Runtime counters are instance-local; run on the writer or reader whose workload is being diagnosed.	MEDIUM	MEDIUM_HIGH	MEDIUM	Calls size functions across relation catalogs; cost grows with object/segment count.	none	SIZE_CALL_LOOP	PASS	PASS	PASS
12_planner_statistics/05_autovacuum_analyze_settings_by_table.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	none	PASS	PASS	PASS
12_planner_statistics/06_planner_cost_settings.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	none	PASS	PASS	PASS
13_io_wal_checkpoints/01_database_io_profile.sql	TARGET_INSTANCE	Runtime counters are instance-local; run on the writer or reader whose workload is being diagnosed.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	none	PASS	PASS	PASS
13_io_wal_checkpoints/02_table_io_hotspots.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	SIZE_CALL	PASS	PASS	PASS
13_io_wal_checkpoints/03_index_io_hotspots.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	SIZE_CALL	PASS	PASS	PASS
13_io_wal_checkpoints/04_wal_archiver_health.sql	WRITER_PREFERRED	Uses primary WAL/archive/sender state.	HIGH	HIGH	HIGH	Bounded catalog/statistics query; not proportional to user-table bytes.	none	none	PASS	PASS	PASS
13_io_wal_checkpoints/05_checkpoint_pressure_indicators.sql	WRITER_ONLY	Empirically rejected by PostgreSQL read-only execution after prerequisites were installed.	HIGH	HIGH	HIGH	Bounded catalog/statistics query; not proportional to user-table bytes.	PostgreSQL 17+ or guarded fallback,DDL/DML privileges	PERSISTENT_WRITE,TEMP_DDL	PASS	FAIL	FAIL
13_io_wal_checkpoints/06_temp_file_usage_by_database.sql	TARGET_INSTANCE	Runtime counters are instance-local; run on the writer or reader whose workload is being diagnosed.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	none	PASS	PASS	PASS
13_io_wal_checkpoints/07_pg_stat_io_overview_pg16_plus.sql	WRITER_ONLY	Empirically rejected by PostgreSQL read-only execution after prerequisites were installed.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	PostgreSQL 16+,DDL/DML privileges	PERSISTENT_WRITE,TEMP_DDL	PASS	FAIL	FAIL
14_connection_workload/01_connections_by_user_app_db.sql	TARGET_INSTANCE	Runtime counters are instance-local; run on the writer or reader whose workload is being diagnosed.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	none	PASS	PASS	PASS
14_connection_workload/02_idle_in_transaction_risk.sql	TARGET_INSTANCE	Runtime counters are instance-local; run on the writer or reader whose workload is being diagnosed.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	none	PASS	PASS	PASS
14_connection_workload/03_connection_state_distribution.sql	TARGET_INSTANCE	Runtime counters are instance-local; run on the writer or reader whose workload is being diagnosed.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	none	PASS	PASS	PASS
14_connection_workload/04_role_connection_limit_risk.sql	TARGET_INSTANCE	Runtime counters are instance-local; run on the writer or reader whose workload is being diagnosed.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	none	PASS	PASS	PASS
14_connection_workload/05_backend_type_distribution.sql	TARGET_INSTANCE	Runtime counters are instance-local; run on the writer or reader whose workload is being diagnosed.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	none	PASS	PASS	PASS
14_connection_workload/06_prepared_transactions_status.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	none	PASS	PASS	PASS
15_capacity_forecasting/01_create_capacity_repository.sql	WRITER_ONLY	Empirically rejected by PostgreSQL read-only execution after prerequisites were installed.	HIGH	HIGH	HIGH	Bounded catalog/statistics query; not proportional to user-table bytes.	DDL/DML privileges	PERSISTENT_WRITE,TEMP_DDL	PASS	FAIL	FAIL
15_capacity_forecasting/02_capture_database_size_snapshot.sql	WRITER_ONLY	Empirically rejected by PostgreSQL read-only execution after prerequisites were installed.	MEDIUM	MEDIUM_HIGH	MEDIUM	Database-size traversal can be expensive with many files/segments or databases.	DDL/DML privileges	PERSISTENT_WRITE,SIZE_CALL	PASS	FAIL	FAIL
15_capacity_forecasting/03_capture_table_size_snapshot.sql	WRITER_ONLY	Empirically rejected by PostgreSQL read-only execution after prerequisites were installed.	HIGH	HIGH	HIGH	Bounded catalog/statistics query; not proportional to user-table bytes.	DDL/DML privileges	PERSISTENT_WRITE,SIZE_CALL	PASS	FAIL	FAIL
15_capacity_forecasting/04_capture_index_size_snapshot.sql	WRITER_ONLY	Empirically rejected by PostgreSQL read-only execution after prerequisites were installed.	HIGH	HIGH	HIGH	Bounded catalog/statistics query; not proportional to user-table bytes.	DDL/DML privileges	PERSISTENT_WRITE,SIZE_CALL	PASS	FAIL	FAIL
15_capacity_forecasting/05_capture_connection_snapshot.sql	WRITER_ONLY	Empirically rejected by PostgreSQL read-only execution after prerequisites were installed.	HIGH	HIGH	HIGH	Bounded catalog/statistics query; not proportional to user-table bytes.	DDL/DML privileges	PERSISTENT_WRITE	PASS	FAIL	FAIL
15_capacity_forecasting/06_capture_wal_snapshot.sql	WRITER_ONLY	Empirically rejected by PostgreSQL read-only execution after prerequisites were installed.	HIGH	HIGH	HIGH	Bounded catalog/statistics query; not proportional to user-table bytes.	DDL/DML privileges	PERSISTENT_WRITE	PASS	FAIL	FAIL
15_capacity_forecasting/07_database_growth_report.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	none	PASS	PASS	PASS
15_capacity_forecasting/08_table_growth_report.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	HIGH	HIGH	HIGH	Bounded catalog/statistics query; not proportional to user-table bytes.	none	none	PASS	PASS	PASS
16_internals_deep_dive/01_database_xid_multixact_age.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	none	PASS	PASS	PASS
16_internals_deep_dive/02_relation_filenode_mapping.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	none	PASS	PASS	PASS
16_internals_deep_dive/03_system_catalog_size_profile.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	MEDIUM	MEDIUM_HIGH	MEDIUM	Calls size functions across relation catalogs; cost grows with object/segment count.	none	SIZE_CALL_LOOP	PASS	PASS	PASS
16_internals_deep_dive/04_dependency_fanout_objects.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	none	PASS	PASS	PASS
16_internals_deep_dive/05_fsm_vm_toast_size_breakdown.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	MEDIUM	MEDIUM_HIGH	MEDIUM	Calls size functions across relation catalogs; cost grows with object/segment count.	none	SIZE_CALL_LOOP	PASS	PASS	PASS
16_internals_deep_dive/06_visibility_and_freeze_profile.sql	WRITER_REQUIRED	Writer-local DML, vacuum, WAL, or maintenance statistics are authoritative.	MEDIUM	MEDIUM_HIGH	MEDIUM	Calls size functions across relation catalogs; cost grows with object/segment count.	none	SIZE_CALL_LOOP	PASS	PASS	PASS
16_internals_deep_dive/07_toast_compression_storage_policy.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	MEDIUM	MEDIUM_HIGH	MEDIUM	Calls size functions across relation catalogs; cost grows with object/segment count.	none	SIZE_CALL_LOOP	PASS	PASS	PASS
16_internals_deep_dive/08_relation_forks_persistence_map.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	MEDIUM	MEDIUM_HIGH	MEDIUM	Calls size functions across relation catalogs; cost grows with object/segment count.	DDL/DML privileges	PERSISTENT_WRITE,SIZE_CALL_LOOP	PASS	PASS	PASS
16_internals_deep_dive/09_slru_control_checkpoint_internals.sql	EITHER_METADATA	Catalog/metadata diagnostic; a sufficiently current reader can offload the writer.	MEDIUM_HIGH	HIGH	MEDIUM_HIGH	Catalog/statistics-wide query; scales with object/session/statistics cardinality.	none	none	PASS	PASS	PASS
